[27-Apr-2024 17:31:12 UTC] PHP Warning:  Attempt to read property "slug" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 66
[27-Apr-2024 17:31:12 UTC] PHP Warning:  Attempt to read property "name" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 66
[27-Apr-2024 17:31:12 UTC] PHP Warning:  Attempt to read property "slug" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 66
[27-Apr-2024 17:31:12 UTC] PHP Warning:  Attempt to read property "slug" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 66
[27-Apr-2024 17:31:12 UTC] PHP Warning:  Attempt to read property "name" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 66
[29-Apr-2024 14:33:14 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:33:22 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:33:32 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:33:58 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:34:02 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:34:05 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:34:11 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:35:57 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 14:36:24 UTC] PHP Warning:  Undefined variable $image_url in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\hero-part.php on line 2
[29-Apr-2024 15:13:56 UTC] PHP Warning:  Undefined variable $QUERY in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\content-page.php on line 15
[29-Apr-2024 15:13:56 UTC] PHP Fatal error:  Uncaught Error: Call to a member function have_posts() on null in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\content-page.php:15
Stack trace:
#0 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-includes\template.php(812): require()
#1 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-includes\template.php(745): load_template('C:\\Users\\abdel\\...', false, Array)
#2 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-includes\general-template.php(206): locate_template(Array, true, false, Array)
#3 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\index.php(7): get_template_part('partials/conten...', 'page')
#4 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-includes\template-loader.php(106): include('C:\\Users\\abdel\\...')
#5 C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-blog-header.php(19): require_once('C:\\Users\\abdel\\...')
#6 C:\Users\abdel\Local Sites\nathalie-mota\app\public\index.php(17): require('C:\\Users\\abdel\\...')
#7 {main}
  thrown in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\partials\content-page.php on line 15
